LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
Lymphome de Hodgkin, sclérose nodulaire, grade 1|M-9665/3|96653|G|K7C3|Ne plus utiliser - LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE GRANULOMATEUX TYPE 2 (3) (CF K7C7)|
Lymphome de Hodgkin, sclérose nodulaire, grade 1|M-9665/3|96653|G|K7C4|Ne plus utiliser - LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE SARCOMATEUX TYPE 2 (4S) (CF K7C8)|
Lymphome de Hodgkin, sclérose nodulaire, grade 1|M-9665/3|96653|G|K7C5|Ne plus utiliser - LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE FIBREUX TYPE 2 (4F)|
Lymphome de Hodgkin, sclérose nodulaire, SAI|M-9663/3|96633||K7C6|MALADIE DE HODGKIN SCLEROSANTE NODULAIRE A FAIBLE NODULARITE ET FIBROSE INCOMPLETE|
Lymphome de Hodgkin, sclérose nodulaire, grade 1|M-9665/3|96653|G|K7C7|MALADIE DE HODGKIN SCLEROSANTE NODULAIRE : BNLI GRADE 1|
Lymphome de Hodgkin, sclérose nodulaire, grade 2|M-9667/3|96673||K7C8|MALADIE DE HODGKIN SCLEROSANTE NODULAIRE : BNLI GRADE 2|
Lymphome de Hodgkin, à cellularité mixte, SAI|M-9652/3|96523||K7D0|MALADIE DE HODGKIN A CELLULARITE MIXTE|
Lymphome de Hodgkin riche en lymphocytes|M-9651/3|96513||K7D1|MALADIE DE HODGKIN CLASSIQUE RICHE EN LYMPHOCYTES|
Lymphome de Hodgkin, à déplétion lymphoïde, SAI|M-9653/3|96533||K7E0|MALADIE DE HODGKIN AVEC DEPLETION LYMPHOIDE (SAI)|
Lymphome de Hodgkin, à déplétion lymphoïde, type fibrose diffuse|M-9654/3|96543||K7E2|MALADIE DE HODGKIN AVEC DEPLETION LYMPHOIDE : FIBROSE DIFFUSE|
Sarcome hodgkinien [obs]|M-9662/3|96623||K7E4|MALADIE DE HODGKIN AVEC DEPLETION LYMPHOIDE : SARCOMATEUSE|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F0|Ne plus utiliser - LYMPHOME HODGKINIEN D'UN TYPE PARTICULIER (SAI)|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F1|Ne plus utiliser - LYMPHOME HODGKINIEN PARCELLAIRE|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F2|MALADIE DE HODGKIN INTERFOLLICULAIRE|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F4|Ne plus utiliser - LYMPHOME HODGKINIEN AVEC CELLULES EPITHELIOIDES|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F6|Ne plus utiliser - LYMPHOME HODGKINIEN AVEC AMYLOSE|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F8|MALADIE DE HODGKIN AVEC LEUCEMIE OU AVEC CANCER SECONDAIRE|
Lymphome de Hodgkin, SAI|M-9650/3|96503|G|K7F9|MALADIE DE HODGKIN INCLASSABLE|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913||K7G0|Ne plus utiliser - LYMPHOME MALIN NON HODGKINIEN (LM) (SAI) (CF J7Z0)|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903||K7G2|Ne plus utiliser - LYMPHOME MALIN FOLLICULAIRE (CF J7F4)|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903|G|K7G4|Ne plus utiliser - LYMPHOME MALIN FOLLICULAIRE ET DIFFUS (CF J7F5)|
Lymphome malin, SAI|M-9590/3|95903|G|K7G6|Ne plus utiliser - LYMPHOME MALIN DIFFUS|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7G7|Ne plus utiliser - LYMPHOME B (CF J7A1)|
Lymphome à cellules T matures, SAI|M-9702/3|97023||K7G8|Ne plus utiliser - LYMPHOME T (CF J7W9)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7H0|Ne plus utiliser - LYMPHOME MALIN DE FAIBLE MALIGNITE (SAI) (CF J7Z1)|
Lymphome malin à petits lymphocytes B, SAI (voir aussi M-9823/3)|M-9670/3|96703||K7J0|Ne plus utiliser - LYMPHOME MALIN LYMPHOCYTIQUE ( LLC )|
Lymphome malin à petits lymphocytes B, SAI (voir aussi M-9823/3)|M-9670/3|96703|G|K7J1|Ne plus utiliser - LYMPHOME MALIN LYMPHOCYTIQUE B (LLC B) (CF J7B0)|
Leucémie/lymphome à cellules T, type adulte (HTLV-1 positif) incluant toutes les variétés|M-9827/3|98273|G|K7J2|Ne plus utiliser - LYMPHOME MALIN LYMPHOCYTIQUE T (LLC T) (CF J7N2 - J7N4)|
Leucémie prolymphocytaire à cellules B|M-9833/3|98333||K7J4|Ne plus utiliser - LYMPHOME MALIN PROLYMPHOCYTAIRE B (CF J7B2)|
Leucémie prolymphocytaire à cellules T|M-9834/3|98343||K7J5|Ne plus utiliser - LYMPHOME MALIN PROLYMPHOCYTAIRE T (CF J7N1)|
Leucémie à tricholeucocytes (C42.1)|M-9940/3|99403||K7J7|Ne plus utiliser - LEUCEMIE A TRICHOLEUCOCYTES (CF J7B4)|
Mycosis fongoïde (C44.-)|M-9700/3|97003||K7K2|Ne plus utiliser - MYCOSIS FONGOIDE (SAI) (CF J7N7)|
Mycosis fongoïde (C44.-)|M-9700/3|97003|G|K7K3|Ne plus utiliser - MYCOSIS FONGOIDE A FORME NODULAIRE D'EMBLEE|
Maladie de Sézary|M-9701/3|97013||K7K4|Ne plus utiliser - SEZARY  MALADIE DE (CF J7N9)|
Mycosis fongoïde (C44.-)|M-9700/3|97003|G|K7K5|RETICULOSE PAGETOIDE|
Mycosis fongoïde (C44.-)|M-9700/3|97003|G|K7K6|RETICULOSE PAGETOIDE VARIANTE WORINGER - KOLOPP|
Mycosis fongoïde (C44.-)|M-9700/3|97003|G|K7K7|RETICULOSE PAGETOIDE VARIANTE SYNDROME DE KETRON - GOODMAN (FORME DIFFUSE)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|K7K8|Ne plus utiliser - LYMPHOME MALIN DES ZONES T - LYMPHOME MALIN DES LYMPHOCYTES PERIPHERIQUES T (CF J7P5)|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713||K7L0|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTAIRE (SAI)|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713|G|K7L1|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTIQUE (CF J7C2)|
Macroglobulinémie de Waldenström (C42.0) (voir aussi M-9671/3)|M-9761/3|97613|G|K7L2|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTOIDE (WALDENSTROM)|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713|G|K7L3|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTAIRE POLYMORPHE|
Maladie des chaînes lourdes, SAI|M-9762/3|97623|G|K7L5|Ne plus utiliser - MALADIE DES CHAINES LOURDES ALPHA (CF J7M1)|
Maladie des chaînes lourdes, SAI|M-9762/3|97623|G|K7L6|Ne plus utiliser - MALADIE DES CHAINES LOURDES MU (CF J7B3)|
Maladie des chaînes lourdes, SAI|M-9762/3|97623|G|K7L7|Ne plus utiliser - MALADIE DES CHAINES LOURDES GAMMA (CF J7C6)|
Plasmocytome extramédullaire (ne survenant pas dans l’os)|M-9734/3|97343||K7M0|Ne plus utiliser - LYMPHOME MALIN PLASMOCYTAIRE - MYELOME EXTRA-OSSEUX (CF J7D0)|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903||K7N0|Ne plus utiliser - LYMPHOME MALIN A CELLULES FOLLICULAIRES (SAI) (CF J7F4)|
Lymphome à cellules du manteau|M-9673/3|96733||K7N1|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE (SAI) (CF J7E1)|
Lymphome à cellules du manteau|M-9673/3|96733|G|K7N2|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE A PETITES CELLULES (CF J7E1)|
Lymphome à cellules du manteau|M-9673/3|96733|G|K7N3|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE A GRANDES CELLULES|
Lymphome à cellules du manteau|M-9675/3|96753||K7N5|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE (SAI)|
Lymphome folliculaire, grade 2|M-9691/3|96913||K7N6|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE FOLLICULAIRE (CF J7F4)|
Lymphome folliculaire, grade 2|M-9691/3|96913||K7N7|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE FOLLICULAIRE ET DIFFUS (CF J7F5)|
Lymphome à cellules du manteau|M-9675/3|96753||K7N8|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE DIFFUS (CF J7F6)|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||K7P0|Ne plus utiliser - LYMPHOME MALIN DE GRANDE MALIGNITE (SAI)|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||K7P2|Ne plus utiliser - LYMPHOME MALIN DE GRANDE MALIGNITE SECONDAIRE A LYMPHOME MALIN DE FAIBLE MALIGNITE (SAI) (CF J7G2)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7P4|Ne plus utiliser - RICHTER  SYNDROME DE (CF J7G2 - J7B0)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7R1|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE PUR (CF J7H4)|
Lymphome folliculaire, grade 3|M-9698/3|96983||K7R2|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE (CF J7F4B)|
Lymphome folliculaire, grade 3|M-9698/3|96983||K7R3|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE ET DIFFUS (CF J7F5)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7R4|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE DIFFUS (CF J7H0)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7R5|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE (CF J7H6)|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903||K7R6|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE FOLLICULAIRE (CF J7F4B)|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903||K7R7|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE FOLLICULAIRE ET DIFFUS|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7R8|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE DIFFUS (CF J7H6)|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||K7S0|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE (SAI)|
Lymphome lymphoblastique à cellules précurseurs B (voir aussi M-9836/3)|M-9728/3|97283|G|K7S1|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE PRE B (CF J7K0)|
Lymphome de Burkitt, SAI (voir aussi M-9826/3)|M-9687/3|96873||K7S2|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE B DE TYPE BURKITT|
Lymphome lymphoblastique à cellules précurseurs B (voir aussi M-9836/3)|M-9728/3|97283||K7S3|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE B NON BURKITT (CF J7K0)|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||K7S4|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE T A NOYAU CONVOLUTE (CF J7S3)|
Lymphome lymphoblastique à cellules précurseurs T (voir aussi M-9837/3)|M-9729/3|97293||K7S5|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE T NON CONVOLUTE (CF J7S3)|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843||K7T0|Ne plus utiliser - LYMPHOME MALIN IMMUNOBLASTIQUE (SAI)|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843|G|K7T1|Ne plus utiliser - LYMPHOME MALIN IMMUNOBLASTIQUE B (CF J7J0)|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843|G|K7T2|Ne plus utiliser - LYMPHOME MALIN IMMUNOBLASTIQUE AVEC DIFFERENCIATION PLASMOBLASTIQUE (CF J7J1)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7T4|Ne plus utiliser - LYMPHOME MALIN IMMUNOBLASTIQUE T (CF J7P0)|
Lymphome malin, SAI|M-9590/3|95903||K7V0|Ne plus utiliser - LYMPHOME MALIN NON PREVU DANS LA CLASSIFICATION DE KIEL (SAI)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|K7V1|Ne plus utiliser - LYMPHOME MALIN A NOYAU MULTILOBE DE TYPE T - LYMPHOME MALIN DE TYPE PINKUS|
Leucémie lymphoïde à grandes cellules T granuleuses|M-9831/1|98311||K7V2|Ne plus utiliser - LEUCOSE LYMPHOIDE CHRONIQUE T A GRANULATIONS AZUROPHILES (CF J7N3)|
Leucémie/lymphome à cellules T, type adulte (HTLV-1 positif) incluant toutes les variétés|M-9827/3|98273||K7V3|Ne plus utiliser - LEUCEMIE LYMPHOME T DE L'ADULTE (CF J7P8 - J7P9)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|K7V4|Ne plus utiliser - LYMPHOME MALIN LYMPHOEPITHELIOIDE T (CF J7P1)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|K7V5|Ne plus utiliser - LENNERT LESION DE|
Lymphome malin, SAI|M-9590/3|95903||K7V6|Ne plus utiliser - LYMPHOME MALIN COMPOSITE|
Leucémie lymphoïde, SAI|M-9820/3|98203|G|K7V7|Ne plus utiliser - LYMPHOME MALIN EN TRANSFORMATION LEUCEMIQUE|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7W0|Ne plus utiliser - LYMPHOME MALIN DE FAIBLE MALIGNITE (SAI) (CF J7Z1)|
Lymphome malin à petits lymphocytes B, SAI (voir aussi M-9823/3)|M-9670/3|96703||K7W1|Ne plus utiliser - LYMPHOME MALIN A PETITS LYMPHOCYTES (LLC) (CF J7B0)|
Macroglobulinémie de Waldenström (C42.0) (voir aussi M-9671/3)|M-9761/3|97613||K7W2|Ne plus utiliser - LYMPHOME MALIN A PETITS LYMPHOCYTES PLASMOCYTOIDES (WALDENSTROM)|
Lymphome folliculaire, grade 1|M-9695/3|96953||K7W3|Ne plus utiliser - LYMPHOME MALIN FOLLICULAIRE AVEC PETITS LYMPHOCYTES CLIVES PREDOMINANTS (CF J7F4 1)|
Lymphome folliculaire, grade 2|M-9691/3|96913||K7W4|Ne plus utiliser - LYMPHOME MALIN FOLLICULAIRE A POPULATION MIXTE DE PETITES CELLULES CLIVEES ET GRANDES CELLULES (CF J7F4 2)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7X0|Ne plus utiliser - LYMPHOME MALIN DE MALIGNITE INTERMEDIAIRE (SAI)|
Lymphome folliculaire, grade 3|M-9698/3|96983|G|K7X1|Ne plus utiliser - LYMPHOME MALIN FOLLICULAIRE AVEC GRANDES CELLULES PREDOMINANTES (CF J7F4A3)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7X2|Ne plus utiliser - LYMPHOME MALIN DIFFUS A PETITES CELLULES CLIVEES|
Lymphome à cellules du manteau|M-9675/3|96753||K7X3|Ne plus utiliser - LYMPHOME MALIN DIFFUS A POPULATION MIXTE DE PETITES ET GRANDES CELLULES|
Lymphome à cellules du manteau|M-9675/3|96753||K7X4|Ne plus utiliser - LYMPHOME MALIN DIFFUS A POPULATION MIXTE DE PETITES ET GRANDES CELLULES AVEC COMPOSANTES EPITHELIOIDES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7X6|Ne plus utiliser - LYMPHOME MALIN DIFFUS A GRANDES CELLULES CLIVEES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7X7|Ne plus utiliser - LYMPHOME MALIN DIFFUS A GRANDES CELLULES NON CLIVEES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7Y0|Ne plus utiliser - LYMPHOME MALIN DE GRANDE MALIGNITE (SAI) (CF J7Z2)|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843||K7Y1|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES IMMUNOBLASTIQUES|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843|G|K7Y2|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES IMMUNOBLASTIQUES PLASMOCYTOIDES (CF J7J1)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|K7Y3|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES CLAIRES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7Y4|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES POLYMORPHES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||K7Y5|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES AVEC COMPOSANTES EPITHELIOIDES|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||K7Y6|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE A NOYAUX CONVOLUTES|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273|G|K7Y7|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE A NOYAUX NON CONVOLUTES|
Lymphome de Burkitt, SAI (voir aussi M-9826/3)|M-9687/3|96873||K7Y8|Ne plus utiliser - LYMPHOME MALIN A PETITES CELLULES NON CLIVEES TYPE BURKITT (CF J7K6)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|K7Z0|Ne plus utiliser - LYMPHOME MALIN DIVERS (SAI)|
Lymphome malin, SAI|M-9590/3|95903|G|K7Z9|Ne plus utiliser - LYMPHOME MALIN INCLASSABLE (CF J7Z0)|
Léiomyome, SAI|M-8890/0|88900||L0A0|LEIOMYOME (SAI)|
Léiomyome cellulaire|M-8892/0|88920||L0A2|LEIOMYOME A FORTE CELLULARITE|
Léiomyome, SAI|M-8890/0|88900|G|L0A3|LEIOMYOME A TUBULES - LEIOMYOME ADENOMATOIDE|
Léiomyome bizarre|M-8893/0|88930||L0A4|LEIOMYOME A CELLULES BIZARRES - LEIOMYOME SYMPLASMIQUE|
Léiomyome épithélioïde|M-8891/0|88910||L0A6|LEIOMYOME EPITHELIOIDE - LEIOMYOBLASTOME - TUMEUR MYOIDE|
Angiomyome|M-8894/0|88940||L0A8|LEIOMYOME VASCULAIRE - ANGIOLEIOMYOME|
Léiomyomatose, SAI|M-8890/1|88901||L0A9|LEIOMYOMATOSE (SAI) - LEIOMYOMATOSE DISSEMINEE DU PERITOINE|
Léiomyome, SAI|M-8890/0|88900|G|L0B0|LEIOMYOME REMANIE (SAI)|
Léiomyome, SAI|M-8890/0|88900|G|L0B1|LEIOMYOME EN NECROBIOSE|
Léiomyome, SAI|M-8890/0|88900|G|L0B2|LEIOMYOME SCLEROSE OU HYALINISE|
Léiomyome, SAI|M-8890/0|88900|G|L0B3|LEIOMYOME CALCIFIE ET/OU OSSIFIE|
hamartome|M-75500|75500|G|L0C0|NAEVUS MUSCULAIRE LISSE - HAMARTOME MUSCULAIRE LISSE|
Lipome, SAI|M-8850/0|88500||L0L0|LIPOME (SAI)|
Lipome, SAI|M-8850/0|88500|G|L0L1|LIPOME REMANIE|
Lipome, SAI|M-8850/0|88500|G|L0L2|LIPOME ARBORESCENT|
Lipome à cellules fusiformes|M-8857/0|88570||L0L4|LIPOME A CELLULES FUSIFORMES|
Lipoblastomatose|M-8881/0|88810||L0L6|LIPOME F_TAL - LIPOBLASTOME - LIPOBLASTOMATOSE|
Lipome intramusculaire|M-8856/0|88560||L0L8|LIPOME INFILTRANT (MUSCLES)|
Lipome pléomorphe|M-8854/0|88540||L0M2|LIPOME PLEOMORPHE - LIPOME ATYPIQUE|
Hibernome|M-8880/0|88800||L0M4|HIBERNOME|
naevus lipomateux|M-75580|75580||L0M6|NAEVUS LIPOMATEUX|
||||L0M8|LIPOME CHONDROIDE|
lipomatose|M-74100|74100||L0N0|LIPOMES MULTIPLES - LIPOMATOSE (SAI)|
lipomatose|M-74100|74100|G|L0N2|LIPOMATOSE SYMETRIQUE|
lipomatose|M-74100|74100|G|L0N4|LIPOMATOSE DIFFUSE|
lipomatose|M-74100|74100|G|L0N6|ADENOLIPOMATOSE DE LAUNOY- BENSAUDE - MALADIE DE MADELUNG|
Lipome atypique|M-8850/1|88501||L0P0|LIPOME COMPLEXE (SAI)|
Angiolipome, SAI|M-8861/0|88610||L0P1|ANGIOLIPOME|
Angiomyolipome|M-8860/0|88600||L0P2|ANGIOMYOLIPOME|
Fibrolipome|M-8851/0|88510||L0P4|FIBROLIPOME|
hamartome|M-75500|75500|G|L0P6|HAMARTOME FIBROLIPOMATEUX (NERFS)|
Myélolipome|M-8870/0|88700||L0P8|MYELOLIPOME|
Fibromyxolipome|M-8852/0|88520||L0R8|LIPOME MYXOIDE LIPOMYXOME|supprimé en V5 ?
Tumeur des muscles lisses à potentiel malin incertain|M-8897/1|88971||L4A0|LEIOMYOME A MALIGNITE INCERTAINE|
Léiomyome cellulaire|M-8892/1|88921||L4A2|LEIOMYOME A FORTE CELLULARITE A MALIGNITE INCERTAINE|
Léiomyosarcome, SAI|M-8890/3|88903||L7A0|LEIOMYOSARCOME (SAI)|
Leiomyosarcome myxoïde|M-8896/3|88963||L7A5|LEIOMYOSARCOME MYXOIDE|
Léiomyosarcome épithélioïde|M-8891/3|88913||L7A6|LEIOMYOSARCOME EPITHELIOIDE - LEIOMYOBLASTOME MALIN|
Leiomyome métastasant|M-8898/1|88981||L7A7|LEIOMYOME METASTASANT|
Léiomyomatose, SAI|M-8890/1|88901|G|L7A9|LEIOMYOMATOSE INTRAVEINEUSE|
Liposarcome, SAI|M-8850/3|88503||L7L0|LIPOSARCOME (SAI)|
||||L7R0|LIPOSARCOME BIEN DIFFERENCIE (SAI)|
Liposarcome bien différencié|M-8851/3|88513||L7R2|LIPOSARCOME BIEN DIFFERENCIE (LIPOME-LIKE)|
Liposarcome bien différencié|M-8851/3|88513|G|L7R4|LIPOSARCOME BIEN DIFFERENCIE SCLEROSANT|
Liposarcome bien différencié|M-8851/3|88513|G|L7R6|LIPOSARCOME BIEN DIFFERENCIE INFLAMMATOIRE|
Liposarcome fibroblastique|M-8857/3|88573|88513|L7R7|LIPOSARCOME BIEN DIFFERENCIE A CELLULES FUSIFORMES|
Liposarcome myxoïde|M-8852/3|88523||L7R8|LIPOSARCOME MYXOIDE|
Liposarcome à cellules rondes|M-8853/3|88533||L7S2|LIPOSARCOME PEU DIFFERENCIE A CELLULES RONDES|
Liposarcome pléomorphe|M-8854/3|88543||L7S4|LIPOSARCOME PLEOMORPHE|
Liposarcome dédifférencié|M-8858/3|88583||L7S6|LIPOSARCOME INDIFFERENCIE OU DEDIFFERENCIE|
Liposarcome à cellularité mixte|M-8855/3|88553||L7S8|LIPOSARCOME A COMPOSANTES MULTIPLES|
Nævus pigmentaire, SAI (C44.-)|M-8720/0|87200||M0A0|NAEVUS NAEVOCELLULAIRE (SAI)|
Petit nævus congénital (C44.-)|M-8761/0|87610||M0A1|NAEVUS CONGENITAL|
Nævus intradermique (C44.-)|M-8750/0|87500||M0A2|NAEVUS DERMIQUE|
Nævus à cellules fusiformes, SAI (C44.-)|M-8772/0|87720||M0A3|NAEVUS A CELLULES FUSIFORMES|
Nævus mixte (C44.-)|M-8760/0|87600||M0A4|NAEVUS COMPOSE (DERMIQUE ET JONCTIONNEL)|
Nævus à cellules épithélioïdes et à cellules fusiformes (C44.-)|M-8770/0|87700||M0A5|NAEVUS DE REED|
Nævus de jonction, SAI (C44.-)|M-8740/0|87400||M0A6|NAEVUS JONCTIONNEL|
Nævus à cellules épithélioïdes et à cellules fusiformes (C44.-)|M-8770/0|87700|G|M0A7|NAEVUS DE SPITZ INCERTAIN - NAEVUS SPITZOIDE|
Nævus à cellules épithélioïdes et à cellules fusiformes (C44.-)|M-8770/0|87700||M0A8|NAEVUS JUVENILE DE SPITZ|
Mélanocytose diffuse (C70.9)|M-8728/0|87280||M0A9|NAEVOMATOSE (SAI) - NAEVI MULTIPLES (SAI)|
||||M0B0|NAEVUS DE TYPE DPN (DEEP PROLIFERATING NAEVUS)|
Nævus bleu, SAI (C44.-)|M-8780/0|87800||M0C0|NAEVUS BLEU (SAI)|
Nævus bleu, SAI (C44.-)|M-8780/0|87800|G|M0C2|NAEVUS BLEU DE MAX TIECHE|
Nævus bleu cellulaire (C44.-)|M-8790/0|87900||M0C4|NAEVUS BLEU CELLULAIRE DE ALLEN|
Nævus bleu, SAI (C44.-)|M-8780/0|87800|G|M0C6|NAEVUS BLEU SUPERFICIEL|
Nævus bleu cellulaire (C44.-)|M-8790/0|87900|G|M0C8|NAEVUS BLEU CELLULAIRE SUPERFICIEL|
Nævus à cellules ballonisées (C44.-)|M-8722/0|87220||M0D2|NAEVUS A CELLULES BALLONNISANTES DE UNNA|
Nævus à cellules épithélioïdes et à cellules fusiformes (C44.-)|M-8770/0|87700|G|M0D4|NAEVUS DESMOPLASTIQUE|
Nævus pigmentaire, SAI (C44.-)|M-8720/0D|87200||M0D6|NAEVUS AVEC FOLLICULITE SOUS-NAEVIQUE|
Nævus achromique (C44.-)|M-8730/0|87300|G|M0D8|NAEVUS KYSTIQUE BENIN ACHROME - DERMO-EPITHELIOME DE PARINAUD|
naevus d'Ota|D4-40376|40376||M0E2|NAEVUS DE OTA|
Nævus pigmentaire géant, SAI (C44.-)|M-8761/1|87611||M0E4|NAEVUS PIGMENTAIRE GEANT|
Nævus pigmentaire, SAI (C44.-)|M-8720/0|87200|G|M0E6|NAEVUS PILEUX|
Nævus pigmentaire, SAI (C44.-)|M-8720/0|87200|G|M0E8|NAEVUS SPILUS|
Nævus en halo (C44.-)|M-8723/0|87230||M0F2|NAEVUS DE SUTTON - HALONAEVUS|
Neuronævus (C44.-)|M-8725/0|87250||M0F4|NEURONAEVUS|
Nævus pigmentaire, SAI (C44.-)|M-8720/0F|87200|G|M0F6|OSTEONAEVUS|
Angiofibrome, SAI|M-9160/0|91600||M0F8|PAPULE FIBREUSE DU NEZ - NAEVUS INVOLUTIF|
||||M0F9|PSEUDOMELANOME D'ACKERMANN|
Mésenchymome bénin|M-8990/0|89900||M0M0|MESENCHYMOME BENIN|
Mésothéliome bénin|M-9050/0|90500||M0P0|MESOTHELIOME BENIN (SAI)|
Mésothéliome fibreux bénin|M-9051/0|90510||M0P2|MESOTHELIOME BENIN A PREDOMINANCE FUSIFORME (LOCALISE)|
Mésothéliome épithélioïde bénin|M-9052/0|90520||M0P4|MESOTHELIOME BENIN A PREDOMINANCE EPITHELIOIDE|
