LESION|LIBLESION
J7M3|LYMPHOME MALIN A CELLULES ANEMONES
J7M5|LYMPHOME MALIN B PSEUDO T
J7M7|LYMPHOME MALIN B RICHE EN LYMPHOCYTES T
J7N0|LYMPHOME MALIN T DE FAIBLE MALIGNITE (SAI)
J7N1|LEUCOSE LYMPHOIDE CHRONIQUE T A NOYAUX NOUEUX (CD 4+)
J7N3|LEUCOSE LYMPHOIDE CHRONIQUE T A GRAINS AZUROPHILES (CD8 + LEU +/-)
J7N5|LEUCOSE PROLYMPHOCYTAIRE T
J7N7|MYCOSIS FONGOIDE
J7N8|MYCOSIS FONGOIDE TRAITE
J7N9|SEZARY  SYNDROME DE
J7P1|LYMPHOME MALIN T LYMPHO-EPITHELIOIDE DE LENNERT
J7P3|LYMPHOME MALIN T DE TYPE LAI
J7P5|LYMPHOME MALIN DES ZONES T
J7P7|LYMPHOME MALIN T PLEOMORPHE A PREDOMINANCE DE PETITES CELLULES
J7P9|LYMPHOME MALIN HTLV 1 POSITIF
J7R0|LYMPHOME MALIN T DE GRANDE MALIGNITE (SAI)
J7R1|LYMPHOME MALIN T DE GRANDE MALIGNITE SUR LM DE FAIBLE MALIGNITE
J7R3|LYMPHOME MALIN T PLEOMORPHE A PREDOMINANCE DE CELLULES MOYENNES
J7R5|LYMPHOME MALIN T PLEOMORPHE A PREDOMINANCE DE GRANDES CELLULES
J7R7|LYMPHOME MALIN IMMUNOBLASTIQUE T
J7S1|LYMPHOME MALIN T A GRANDES CELLULES ANAPLASIQUES
J7S3|LYMPHOME MALIN LYMPHOBLASTIQUE T (SAI)
J7S5|LYMPHOME MALIN LYMPHOBLASTIQUE T A NOYAU CONVOLUTE
J7T0|LYMPHOME MALIN T RARE (SAI)
J7T1|LYMPHOME MALIN T ANGIOCENTRIQUE
J7T3|PAPULOSE LYMPHOMATOIDE
J7T5|LEUCEMIE LYMPHOME T DE L'ADULTE
J7T7|LYMPHOME MALIN T A GRANDES CELLULES SINUSOIDALES
J7T9|LYMPHOME MALIN T PLASMOCYTOIDE
J7V0|LYMPHOME A GRANDES CELLULES ANAPLASIQUES Ki1+ (SAI) (DOUBLE CODAGE AVEC LE TYPE B OU T DU LYMPHOME)
K7A0|LYMPHOME HODGKINIEN - MALADIE DE HODGKIN (SAI)
K7B0|LYMPHOME HODGKINIEN TYPE PREDOMINANCE LYMPHOCYTAIRE (SAI) TYPE 1
K7B2|LYMPHOME HODGKINIEN TYPE PREDOMINANCE LYMPHOCYTAIRE NODULAIRE (POPPEMA ET LENNERT)
K7C0|LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE (SAI) TYPE 2 (SAI)
K7C1|LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE AVANT LA SCLEROSE (PHASE CELLULAIRE) TYPE 1 (2)
K7C2|LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE A PREDOMINANCE LYMPHOCYTAIRE TYPE 2 (1)
K7C3|LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE GRANULOMATEUX TYPE 2 (3)
K7C4|LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE SARCOMATEUX TYPE 2 (4S)
K7C5|LYMPHOME HODGKINIEN TYPE SCLERONODULAIRE FIBREUX TYPE 2 (4F)
K7D0|LYMPHOME HODGKINIEN TYPE CELLULARITE MIXTE TYPE 3
K7E0|LYMPHOME HODGKINIEN TYPE DEPLETION LYMPHOCYTAIRE TYPE 4 (SAI)
K7E2|LYMPHOME HODGKINIEN TYPE DEPLETION LYMPHOCYTAIRE AVEC ASPECT SARCOMATEUX TYPE 4S
K7E4|LYMPHOME HODGKINIEN TYPE DEPLETION LYMPHOCYTAIRE AVEC FIBROSE DIFFUSE TYPE 4F
K7F0|LYMPHOME HODGKINIEN D'UN TYPE PARTICULIER (SAI)
K7F1|LYMPHOME HODGKINIEN PARCELLAIRE
K7F2|LYMPHOME HODGKINIEN INTERFOLLICULAIRE DE DORFMAN
K7F4|LYMPHOME HODGKINIEN AVEC CELLULES EPITHELIOIDES
K7F6|LYMPHOME HODGKINIEN AVEC AMYLOSE
K7F8|LYMPHOME HODGKINIEN AVEC LEUCEMIE OU AVEC CANCER SECONDAIRE
K7F9|LYMPHOME HODGKINIEN NON CLASSABLE
K7G0|LYMPHOME MALIN NON HODGKINIEN (LM) (SAI)
K7G2|LYMPHOME MALIN FOLLICULAIRE
K7G4|LYMPHOME MALIN FOLLICULAIRE ET DIFFUS
K7G6|LYMPHOME MALIN DIFFUS
K7G7|LYMPHOME B
K7G8|LYMPHOME T
K7H0|LYMPHOME MALIN DE FAIBLE MALIGNITE (SAI)
K7J0|LYMPHOME MALIN LYMPHOCYTIQUE ( LLC )
K7J1|LYMPHOME MALIN LYMPHOCYTIQUE B (LLC B)
K7J2|LYMPHOME MALIN LYMPHOCYTIQUE T (LLC T)
K7J4|LYMPHOME MALIN PROLYMPHOCYTAIRE B
K7J5|LYMPHOME MALIN PROLYMPHOCYTAIRE T
K7J7|LEUCEMIE A TRICHOLEUCOCYTES
K7K2|MYCOSIS FONGOIDE (SAI)
K7K3|MYCOSIS FONGOIDE A FORME NODULAIRE D'EMBLEE
K7K4|SEZARY  MALADIE DE
K7K6|LYMPHOME EPIDERMOTROPE TYPE WORINGER-KOLOPP
K7K8|LYMPHOME MALIN DES ZONES T - LYMPHOME MALIN DES LYMPHOCYTES PERIPHERIQUES T
K7L0|LYMPHOME MALIN LYMPHOPLASMOCYTAIRE (SAI)
K7L1|LYMPHOME MALIN LYMPHOPLASMOCYTIQUE
K7L2|LYMPHOME MALIN LYMPHOPLASMOCYTOIDE (WALDENSTROM)
K7L3|LYMPHOME MALIN LYMPHOPLASMOCYTAIRE POLYMORPHE
K7L5|MALADIE DES CHAINES LOURDES ALPHA
K7L6|MALADIE DES CHAINES LOURDES MU
K7L7|MALADIE DES CHAINES LOURDES GAMMA
K7M0|LYMPHOME MALIN PLASMOCYTAIRE - MYELOME EXTRA-OSSEUX
K7N0|LYMPHOME MALIN A CELLULES FOLLICULAIRES (SAI)
K7N1|LYMPHOME MALIN CENTROCYTIQUE (SAI)
K7N2|LYMPHOME MALIN CENTROCYTIQUE A PETITES CELLULES
K7N3|LYMPHOME MALIN CENTROCYTIQUE A GRANDES CELLULES
K7N5|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE (SAI)
K7N6|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE FOLLICULAIRE
K7N7|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE FOLLICULAIRE ET DIFFUS
K7N8|LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE DIFFUS
K7P0|LYMPHOME MALIN DE GRANDE MALIGNITE (SAI)
K7P2|LYMPHOME MALIN DE GRANDE MALIGNITE SECONDAIRE A LYMPHOME MALIN DE FAIBLE MALIGNITE (SAI)
K7P4|RICHTER  SYNDROME DE
K7R1|LYMPHOME MALIN CENTROBLASTIQUE PUR
K7R2|LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE
K7R3|LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE ET DIFFUS
K7R4|LYMPHOME MALIN CENTROBLASTIQUE DIFFUS
K7R5|LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE
K7R6|LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE FOLLICULAIRE
K7R7|LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE FOLLICULAIRE ET DIFFUS
K7R8|LYMPHOME MALIN CENTROBLASTIQUE POLYMORPHE DIFFUS
K7S0|LYMPHOME MALIN LYMPHOBLASTIQUE (SAI)
K7S1|LYMPHOME MALIN LYMPHOBLASTIQUE PRE B
K7S2|LYMPHOME MALIN LYMPHOBLASTIQUE B DE TYPE BURKITT
K7S3|LYMPHOME MALIN LYMPHOBLASTIQUE B NON BURKITT
K7S4|LYMPHOME MALIN LYMPHOBLASTIQUE T A NOYAU CONVOLUTE
K7S5|LYMPHOME MALIN LYMPHOBLASTIQUE T NON CONVOLUTE
K7T0|LYMPHOME MALIN IMMUNOBLASTIQUE (SAI)
K7T1|LYMPHOME MALIN IMMUNOBLASTIQUE B
K7T2|LYMPHOME MALIN IMMUNOBLASTIQUE AVEC DIFFERENCIATION PLASMOBLASTIQUE
K7T4|LYMPHOME MALIN IMMUNOBLASTIQUE T
K7V0|LYMPHOME MALIN NON PREVU DANS LA CLASSIFICATION DE KIEL (SAI)
K7V1|LYMPHOME MALIN A NOYAU MULTILOBE DE TYPE T - LYMPHOME MALIN DE TYPE PINKUS
K7V2|LEUCOSE LYMPHOIDE CHRONIQUE T A GRANULATIONS AZUROPHILES
K7V3|LEUCEMIE LYMPHOME T DE L'ADULTE
K7V4|LYMPHOME MALIN LYMPHOEPITHELIOIDE T
K7V5|LENNERT  LESION DE
K7V6|LYMPHOME MALIN COMPOSITE
K7V7|LYMPHOME MALIN EN TRANSFORMATION LEUCEMIQUE
K7W0|LYMPHOME MALIN DE FAIBLE MALIGNITE (SAI)
K7W1|LYMPHOME MALIN A PETITS LYMPHOCYTES (LLC)
K7W2|LYMPHOME MALIN A PETITS LYMPHOCYTES PLASMOCYTOIDES (WALDENSTROM)
K7W3|LYMPHOME MALIN FOLLICULAIRE AVEC PETITS LYMPHOCYTES CLIVES PREDOMINANTS
K7W4|LYMPHOME MALIN FOLLICULAIRE A POPULATION MIXTE DE PETITES CELLULES CLIVEES ET GRANDES CELLULES
K7X0|LYMPHOME MALIN DE MALIGNITE INTERMEDIAIRE (SAI)
K7X1|LYMPHOME MALIN FOLLICULAIRE AVEC GRANDES CELLULES PREDOMINANTES
K7X2|LYMPHOME MALIN DIFFUS A PETITES CELLULES CLIVEES
K7X3|LYMPHOME MALIN DIFFUS A POPULATION MIXTE DE PETITES ET GRANDES CELLULES
K7X4|LYMPHOME MALIN DIFFUS A POPULATION MIXTE DE PETITES ET GRANDES CELLULES AVEC COMPOSANTES EPITHELIOIDES
K7X6|LYMPHOME MALIN DIFFUS A GRANDES CELLULES CLIVEES
K7X7|LYMPHOME MALIN DIFFUS A GRANDES CELLULES NON CLIVEES
K7Y0|LYMPHOME MALIN DE GRANDE MALIGNITE (SAI)
K7Y1|LYMPHOME MALIN A GRANDES CELLULES IMMUNOBLASTIQUES
K7Y2|LYMPHOME MALIN A GRANDES CELLULES IMMUNOBLASTIQUES PLASMOCYTOIDES
K7Y3|LYMPHOME MALIN A GRANDES CELLULES CLAIRES
K7Y4|LYMPHOME MALIN A GRANDES CELLULES POLYMORPHES
K7Y5|LYMPHOME MALIN A GRANDES CELLULES AVEC COMPOSANTES EPITHELIOIDES
K7Y6|LYMPHOME MALIN LYMPHOBLASTIQUE A NOYAUX CONVOLUTES
K7Y7|LYMPHOME MALIN LYMPHOBLASTIQUE A NOYAUX NON CONVOLUTES
K7Y8|LYMPHOME MALIN A PETITES CELLULES NON CLIVEES TYPE BURKITT
K7Z0|LYMPHOME MALIN DIVERS (SAI)
K7Z9|LYMPHOME MALIN INCLASSABLE
L0A0|LEIOMYOME (SAI)
L0A2|LEIOMYOME A FORTE CELLULARITE
L0A3|LEIOMYOME A TUBULES - LEIOMYOME ADENOMATOIDE
L0A4|LEIOMYOME A CELLULES BIZARRES - LEIOMYOME SYMPLASMIQUE
L0A6|LEIOMYOME EPITHELIOIDE - LEIOMYOBLASTOME - TUMEUR MYOIDE
L0A8|LEIOMYOME VASCULAIRE - ANGIOLEIOMYOME
L0A9|LEIOMYOMATOSE (SAI) - LEIOMYOMATOSE DISSEMINEE DU PERITOINE
L0B0|LEIOMYOME REMANIE (SAI)
L0B1|LEIOMYOME EN NECROBIOSE
L0B2|LEIOMYOME SCLEROSE OU HYALINISE
L0B3|LEIOMYOME CALCIFIE ET/OU OSSIFIE
L0C0|NAEVUS MUSCULAIRE LISSE - HAMARTOME MUSCULAIRE LISSE
L0L0|LIPOME (SAI)
L0L1|LIPOME REMANIE
L0L2|LIPOME ARBORESCENT
L0L4|LIPOME A CELLULES FUSIFORMES
L0L6|LIPOME F_TAL - LIPOBLASTOME - LIPOBLASTOMATOSE
L0L8|LIPOME INFILTRANT (MUSCLES)
L0M2|LIPOME PLEOMORPHE - LIPOME ATYPIQUE
L0M4|HIBERNOME
L0M6|NAEVUS LIPOMATEUX
L0M8|LIPOME CHONDROIDE
L0N0|LIPOMES MULTIPLES - LIPOMATOSE (SAI)
L0N2|LIPOMATOSE SYMETRIQUE
L0N4|LIPOMATOSE DIFFUSE
L0N6|ADENOLIPOMATOSE DE LAUNOY- BENSAUDE - MALADIE DE MADELUNG
L0P0|LIPOME COMPLEXE (SAI)
L0P1|ANGIOLIPOME
L0P2|ANGIOMYOLIPOME
L0P4|FIBROLIPOME
L0P6|HAMARTOME FIBROLIPOMATEUX (NERFS)
L0P8|MYELOLIPOME
L0R8|LIPOME MYXOIDE - LIPOMYXOME
L4A0|LEIOMYOME A MALIGNITE INCERTAINE
L4A2|LEIOMYOME A FORTE CELLULARITE A MALIGNITE INCERTAINE
L7A0|LEIOMYOSARCOME (SAI)
L7A5|LEIOMYOSARCOME MYXOIDE
L7A6|LEIOMYOSARCOME EPITHELIOIDE - LEIOMYOBLASTOME MALIN
L7A7|LEIOMYOME METASTASANT
L7A9|LEIOMYOMATOSE INTRAVEINEUSE
L7L0|LIPOSARCOME (SAI)
L7R0|LIPOSARCOME BIEN DIFFERENCIE (SAI)
L7R2|LIPOSARCOME BIEN DIFFERENCIE (LIPOME-LIKE)
L7R4|LIPOSARCOME BIEN DIFFERENCIE SCLEROSANT
L7R6|LIPOSARCOME BIEN DIFFERENCIE INFLAMMATOIRE
L7R7|LIPOSARCOME BIEN DIFFERENCIE A CELLULES FUSIFORMES
L7R8|LIPOSARCOME MYXOIDE
L7S2|LIPOSARCOME PEU DIFFERENCIE A CELLULES RONDES
L7S4|LIPOSARCOME PLEOMORPHE
L7S6|LIPOSARCOME INDIFFERENCIE OU DEDIFFERENCIE
L7S8|LIPOSARCOME A COMPOSANTES MULTIPLES
M0A0|NAEVUS NAEVOCELLULAIRE (SAI)
M0A1|NAEVUS CONGENITAL
M0A2|NAEVUS DERMIQUE
M0A3|NAEVUS A CELLULES FUSIFORMES
M0A4|NAEVUS COMPOSE (DERMIQUE ET JONCTIONNEL)
M0A5|NAEVUS DE REED
M0A6|NAEVUS JONCTIONNEL
M0A7|NAEVUS DE SPITZ INCERTAIN - NAEVUS SPITZOIDE
M0A8|NAEVUS JUVENILE DE SPITZ
M0A9|NAEVOMATOSE (SAI) - NAEVI MULTIPLES (SAI)
M0B0|NAEVUS DE TYPE DPN (DEEP PROLIFERATING NAEVUS)
M0C0|NAEVUS BLEU (SAI)
M0C2|NAEVUS BLEU DE MAX TIECHE
M0C4|NAEVUS BLEU CELLULAIRE DE ALLEN
M0C6|NAEVUS BLEU SUPERFICIEL
M0C8|NAEVUS BLEU CELLULAIRE SUPERFICIEL
M0D2|NAEVUS A CELLULES BALLONNISANTES DE UNNA
M0D4|NAEVUS DESMOPLASTIQUE
M0D6|NAEVUS AVEC FOLLICULITE SOUS-NAEVIQUE
M0D8|NAEVUS KYSTIQUE BENIN ACHROME - DERMO-EPITHELIOME DE PARINAUD
M0E2|NAEVUS DE OTA
M0E4|NAEVUS PIGMENTAIRE GEANT
M0E6|NAEVUS PILEUX
M0E8|NAEVUS SPILUS
M0F2|NAEVUS DE SUTTON - HALONAEVUS
M0F4|NEURONAEVUS
M0F6|OSTEONAEVUS
M0F8|PAPULE FIBREUSE DU NEZ - NAEVUS INVOLUTIF
M0F9|PSEUDOMELANOME D'ACKERMANN
M0M0|MESENCHYMOME BENIN
M0P0|MESOTHELIOME BENIN (SAI)
M0P2|MESOTHELIOME BENIN A PREDOMINANCE FUSIFORME (LOCALISE)
M0P4|MESOTHELIOME BENIN A PREDOMINANCE EPITHELIOIDE
M0P5|MESOTHELIOME BENIN PAPILLAIRE BIEN DIFFERENCIE
M0P6|MESOTHELIOME BENIN BIPHASIQUE
M0P7|MESOTHELIOME MULTIKYSTIQUE (PERITOINE)
M0P8|TUMEUR ADENOMATOIDE
M4A0|TUMEUR PIGMENTAIRE DE MALIGNITE INCERTAINE (SAI)
M4B1|HYPERPLASIE LENTIGINEUSE ATYPIQUE
M4K0|NAEVUS DYSPLASIQUE (SAI)
M4K1|NAEVUS DYSPLASIQUE ISOLE
M4K2|NAEVI DYSPLASIQUES MULTIPLES NON FAMILIAUX
M4K3|NAEVI DYSPLASIQUES MULTIPLES FAMILIAUX - BK MOLE SYNDROME (SANS MELANOME MALIN)
M4M0|MESENCHYMOME A MALIGNITE INCERTAINE
M4P0|TUMEUR MESOTHELIALE A LA LIMITE DE LA MALIGNITE
M5A0|MELANOME MALIN IN SITU (SAI)
M5B5|MELANOME SUPERFICIEL EXTENSIF IN SITU
M5G2|MELANOSE CIRCONSCRITE DE DUBREUILH
M5G4|MELANOME MALIN IN SITU PAGETOIDE
M5G6|MELANOME MALIN IN SITU SUR NAEVUS PREEXISTANT
M5G7|MELANOME MALIN IN SITU LENTIGINEUX DES EXTREMITES
M5K0|MELANOME MALIN IN SITU SUR NAEVUS DYSPLASIQUE
M5K1|MELANOME MALIN IN SITU SUR NAEVUS DYSPLASIQUE ISOLE
M5K2|MELANOME MALIN IN SITU SUR NAEVI DYSPLASIQUES MULTIPLES NON FAMILIAUX
M5K3|MELANOME MALIN IN SITU SUR NAEVI DYSPLASIQUES MULTIPLES FAMILIAUX
M7A0|MELANOME MALIN (SAI)
M7A7|MELANOME MALIN SPITZOIDE
M7B1|MELANOME MALIN LENTIGINEUX DES EXTREMITES - MELANOME MALIN LENTIGINEUX ACRAL
M7B3|MELANOME MALIN NODULAIRE (MMN)
M7B4|MELANOME NODULAIRE SUR NAEVUS PREEXISTANT
M7B5|MELANOME MALIN SUPERFICIEL EXTENSIF D'EMBLEE
M7B7|MELANOME MALIN SUPERFICIEL EXTENSIF SUR NAEVUS PRE-EXISTANT
M7B8|MELANOME MALIN SUR NAEVUS PRE-EXISTANT (SAI)
M7B9|MELANOMES MALINS MULTIPLES - MELANOMATOSE
M7C0|MELANOME MALIN SUR NAEVUS BLEU
M7D2|MELANOME MALIN A CELLULES BALLONNISANTES
M7D4|MELANOME MALIN DESMOPLASTIQUE
M7E4|MELANOME MALIN SUR NAEVUS PIGMENTAIRE GEANT
M7G2|MELANOME MALIN LENTIGINEUX SUR MELANOSE DE DUBREUILH
M7G4|MELANOME MALIN PAGETOIDE
M7K0|MELANOME MALIN SUR NAEVUS DYSPLASIQUE (SAI)
M7K1|MELANOME MALIN SUR NAEVUS DYSPLASIQUE ISOLE
M7K2|MELANOME MALIN SUR NAEVI DYSPLASIQUES MULTIPLES NON FAMILIAUX
M7K3|MELANOME MALIN SUR NAEVI DYSPLASIQUES MULTIPLES FAMILIAUX - BK MOLE SYNDROME (AVEC MELANOME MALIN)
M7L0|MELANOME MALIN REGRESSIF
M7L1|MELANOME MALIN (EXERESE COMPLEMENTAIRE)
M7M0|MESENCHYMOME MALIN
M7P0|MESOTHELIOME MALIN (SAI)
M7P2|MESOTHELIOME MALIN A PREDOMINANCE FUSIFORME OU SARCOMATOIDE
M7P4|MESOTHELIOME MALIN A PREDOMINANCE EPITHELIOIDE
M7P5|MESOTHELIOME MALIN PAPILLAIRE BIEN DIFFERENCIE
M7P6|MESOTHELIOME MALIN BIPHASIQUE
M7X0|TUMEUR MELANIQUE MALIGNE INCLASSABLE
M7X1|MELANOME MALIN D'UN TYPE PARTICULIER OU INHABITUEL
MMA0|MELANOME MALIN METASTATIQUE
N0A0|SCHWANNOME - NEURINOME (SAI)
N0A2|SCHWANNOME DE TYPE A- NEURINOME DE TYPE A
N0A4|SCHWANNOME DE TYPE B - NEURINOME TYPE B
N0A6|SCHWANNOME PLEXIFORME
N0A8|TUMEUR BENIGNE A CELLULES GRANULEUSES - TUMEUR D'ABRIKOSOFF
N0B0|NEURINOME - SCHWANNOME DANS LA MALADIE DE RECKLINGHAUSEN
N0C0|NEUROFIBROME SOLITAIRE (SAI)
N0C1|NEUROFIBROME PLEXIFORME
N0C2|NEUROFIBROME EPITHELIOIDE SOLITAIRE
N0C4|NEUROFIBROME MELANOTIQUE - NEUROFIBROME PIGMENTE SOLITAIRE
N0C6|NEUROFIBROME PACINIEN
N0C8|NEUROFIBROME A CELLULES GRANULEUSES
N0C9|SCHWANNOME ET NEUROFIBROME INTRIQUES
N0D0|NEUROFIBROME LOCALISE DANS LA MALADIE DE RECKLINGHAUSEN (SAI)
N0D2|NEUROFIBROME PLEXIFORME DANS LA MALADIE DE RECKLINGHAUSEN
N0D4|NEUROFIBROME DIFFUS DANS LA MALADIE DE RECKLINGHAUSEN
N0D9|NEURINOMATOSE - RECKLINGHAUSEN  MALADIE DE
N0E0|NEUROME TRAUMATIQUE - NEVROME
N0F0|NEUROME DE MORTON
N0G0|PERINEURIOME - FIBROME STORIFORME DES NERFS
N0G2|PERINEURIOME CELLULAIRE
N0G4|PERINEURIOME INTRANERVEUX
N0G5|NEUROTHECOME
N0H0|TUMEUR TRITON BENIGNE - HAMARTOME NEUROMUSCULAIRE
N0J0|MENINGIOME (SAI)
N0J2|MENINGIOME ANGIOMATEUX
N0J4|MENINGIOME FIBROBLASTIQUE
N0K2|MENINGIOME MENINGOTHELIAL
N0K3|MENINGIOME METAPLASIQUE (CHONDROIDE ET OSSEUX)
N0K4|MENINGIOME MIXTE (FIBROBLASTIQUE ET MENINGOTHELIAL)
N0K8|MENINGIOME PSAMMOMATEUX
N0K9|MENINGIOME  VARIETES RARES (MICROKYSTIQUE - A CELLULES CLAIRES - CHORDOIDE -SECRETOIRE - A STROMA LYMPHOIDE)
N0L0|GANGLIONEUROME - GANGLIOCYTOME DU SNC
N0L2|GANGLIOCYTOME DYSPLASIQUE DU CERVELET (LHERMITTE-DUCLOS)
N0N0|GANGLIOGLIOME DESMOPLASIQUE DE L'ENFANCE
N0N2|TUMEUR NEURO-EPITHELIALE DYSEMBRYOPLASIQUE
N0S8|ASTROCYTOME PILOCYTIQUE (EX SPONGIOBLASTOME POLAIRE)
N0T2|ASTROCYTOME SOUS-EPENDYMAIRE A CELLULES GEANTES
N0T3|ASTROCYTOME SOUS-EPENDYMAIRE A CELLULES GEANTES DANS LA MALADIE DE BOURNEVILLE
N0W2|EPENDYMOME MYXOPAPILLAIRE
N0W6|SUBEPENDYMOME
N0Z0|PAPILLOME DES PLEXUS CHOROIDES
N4A0|SCHWANNOME CELLULAIRE
N4B0|SCHWANNOME A LA LIMITE DE LA MALIGNITE DANS UNE MALADIE DE RECKLINGHAUSEN
N4J0|MENINGIOME ATYPIQUE
N4J9|MENINGIOMATOSE
N4L0|NEUROCYTOME CENTRAL
N7A0|SCHWANNOME MALIN - SARCOME NEUROGENE - NEUROFIBROME ANAPLASIQUE - TUMEUR DES GAINES NERVEUSES PERIPHERIQUES MALIGNES (SAI)
N7A3|SCHWANNOME MALIN EPITHELIOIDE - TUMEUR DES GAINES NERVEUSES PERIPHERIQUES MALIGNES EPITHELIOIDE
N7A5|SCHWANNOME MALIN MELANOTIQUE - TUMEUR DES GAINES NERVEUSES PERIPHERIQUES MELANOTIQUE
N7A6|SCHWANNOME MALIN AVEC DIFFERENCIATION GLANDULAIRE
N7A8|TUMEUR MALIGNE A CELLULES GRANULEUSES
N7B0|SCHWANNOME MALIN DANS UNE MALADIE DE RECKLINGHAUSEN
N7C0|NEUROFIBROME MALIN - NEUROFIBROSARCOME (SAI)
N7C9|NEUROFIBROME MALIN - NEUROFIBROSARCOME DANS LA MALADIE DE RECKLINGHAUSEN
N7H0|TUMEUR TRITON MALIGNE - SCHWANNOME MALIN MELANOTIQUE AVEC DIFFERENCIATION MESENCHYMATEUSE ET/OU EPITHELIALE
N7H5|SARCOME A CELLULES CLAIRES - MELANOME MALIN DES TISSUS MOUS
N7J0|MENINGIOME MALIN (SAI)
N7K6|MENINGIOME PAPILLAIRE
N7M0|NEUROBLASTOME PERIPHERIQUE - NEUROBLASTOME CENTRAL
N7M1|GANGLIONEUROBLASTOME PERIPHERIQUE - GANGLIONEUROBLASTOME CENTRAL
N7M2|TUMEUR NEUROECTODERMIQUE PRIMITIVE (SAI ) - PNET
N7M3|TUMEUR NEUROECTODERMIQUE PRIMITIVE AVEC DIFFERENCIATION MULTIPOTENTIELLE
N7M4|TUMEUR NEUROECTODERMIQUE MALIGNE DE LA REGION THORACO-PULMONAIRE - ASKIN  TUMEUR DE'
N7M5|ECTOMESENCHYMOME
N7M6|NEUROEPITHELIOME
N7N0|GANGLIOGLIOME
N7N1|GANGLIOGLIOME ANAPLASIQUE
N7P0|MEDULLOBLASTOME
N7P2|MEDULLOBLASTOME DESMOPLASIQUE
N7P4|MEDULLOMYOBLASTOME
N7P6|MEDULLOBLASTOME MELANOTIQUE
N7Q0|MEDULLO-EPITHELIOME
N7R0|GLIOME (SAI)
N7R4|GLIOME MIXTE (EX GLIOME A COMPOSANTES GLIALES MULTIPLES)
N7R9|GLIOMATOSE
N7S0|ASTROCYTOME (SAI)
N7S2|ASTROCYTOME FIBRILLAIRE
N7S4|ASTROCYTOME GEMISTOCYTIQUE
N7S6|ASTROCYTOME PROTOPLASMIQUE
N7S7|ASTROCYTOME MIXTE
N7S9|XANTHO-ASTROCYTOME PLEOMORPHE
N7T4|ASTROBLASTOME
N7T6|ASTROCYTOME ANAPLASIQUE
N7V0|OLIGODENDROGLIOME
N7V2|OLIGO-ASTROCYTOME MIXTE
N7V3|OLIGO-ASTROCYTOME MIXTE ANAPLASIQUE
N7V4|OLIGODENDRIOGLIOME ANAPLASIQUE
N7W0|EPENDYMOME (SAI)
N7W1|EPENDYMOME CELLULAIRE
N7W3|EPENDYMOME EPITHELIAL
N7W4|EPENDYMOME PAPILLAIRE
N7W5|EPENDYMOME A CELLULES CLAIRES
N7W8|EPENDYMOME ANAPLASIQUE
N7W9|EPENDYMOME MIXTE
N7X0|GLIOBLASTOME (SAI)
N7X2|GLIOBLASTOME A CELLULES GEANTES
N7X4|GLIOBLASTOME AVEC COMPOSANTE SARCOMATEUSE
N7Y0|SPONGIOBLASTOME POLAIRE (PRIMITIF)
N7Z0|CARCINOME DES PLEXUS CHOROIDES
P0A0|PARAGANGLIOME BENIN - CHEMODECTOME (SAI)
P0C0|PHEOCHROMOCYTOME BENIN
P0C2|PHEOCHROMOCYTOME BENIN AU COURS D'UNE POLYONCOSE
P0E0|TUMEUR PILAIRE (SAI)
P0E2|ACANTHOME DES GAINES PILAIRES
P0E4|ADENOME INFUNDIBULAIRE
P0E5|DYSKERATOME VERRUQUEUX
P0E6|HAMARTOME FOLLICULAIRE MULTIPLE
P0E7|KYSTE TRICHILEMMAL PROLIFERANT
P0E8|NAEVUS COMEDONIEN
P0G2|PILOMATRICOME - EPITHELIOMA MOMIFIE DE MALHERBE
P0G4|PORE DILATE DE WINER
P0G6|TRICHILEMMOME
P0G7|TRICHILEMMOME AU COURS DE LA MALADIE DE COWDEN
P0H2|TRICHO-EPITHELIOME - TRICHO-EPITHELIOME DESMOPLASTIQUE - HAMARTOME EPITHELIAL SCLEROSANT
P0H4|TRICHOFOLLICULOME - FIBROFOLLICULOME
P0H6|TRICHOFOLLICULOME SEBACE
P0H8|TUMEUR TRICHOGENIQUE  VARIETES RARES (TRICHOBLASTOME- FIBROME TRICHOBLASTIQUE ETC )
P4A0|PARAGANGLIOME A LA LIMITE DE LA MALIGNITE
P4C0|PHEOCHROMOCYTOME A LA LIMITE DE LA MALIGNITE
P7A0|PARAGANGLIOME MALIN
P7C0|PHEOCHROMOCYTOME MALIN
P7C2|PHEOCHROMOCYTOME MALIN AU COURS D'UNE POLYONCOSE
